author,quote,tag_name
Marilyn Monroe,"This life is what you make it. No matter what, you're going to mess up sometimes, it's a universal truth. But the good part is you get to decide how you're going to mess it up. Girls will be your friends - they'll act like it anyway. But just remember, some come, some go. The ones that stay with you through everything - they're your true best friends. Don't let go of them. Also remember, sisters make the best friends in the world. As for lovers, well, they'll come and go too. And baby, I hate to say it, most of them - actually pretty much all of them are going to break your heart, but you can't give up because if you give up, you'll never find your soulmate. You'll never find that half who makes you whole and that goes for everything. Just because you fail once, doesn't mean you're gonna fail at everything. Keep trying, hold on, and always, always, always believe in yourself, because if you don't, then who will, sweetie? So keep your head high, keep your chin up, and most importantly, keep smiling, because life's a beautiful thing and there's so much to smile about.",life
Marilyn Monroe,"This life is what you make it. No matter what, you're going to mess up sometimes, it's a universal truth. But the good part is you get to decide how you're going to mess it up. Girls will be your friends - they'll act like it anyway. But just remember, some come, some go. The ones that stay with you through everything - they're your true best friends. Don't let go of them. Also remember, sisters make the best friends in the world. As for lovers, well, they'll come and go too. And baby, I hate to say it, most of them - actually pretty much all of them are going to break your heart, but you can't give up because if you give up, you'll never find your soulmate. You'll never find that half who makes you whole and that goes for everything. Just because you fail once, doesn't mean you're gonna fail at everything. Keep trying, hold on, and always, always, always believe in yourself, because if you don't, then who will, sweetie? So keep your head high, keep your chin up, and most importantly, keep smiling, because life's a beautiful thing and there's so much to smile about.",love
Marilyn Monroe,"This life is what you make it. No matter what, you're going to mess up sometimes, it's a universal truth. But the good part is you get to decide how you're going to mess it up. Girls will be your friends - they'll act like it anyway. But just remember, some come, some go. The ones that stay with you through everything - they're your true best friends. Don't let go of them. Also remember, sisters make the best friends in the world. As for lovers, well, they'll come and go too. And baby, I hate to say it, most of them - actually pretty much all of them are going to break your heart, but you can't give up because if you give up, you'll never find your soulmate. You'll never find that half who makes you whole and that goes for everything. Just because you fail once, doesn't mean you're gonna fail at everything. Keep trying, hold on, and always, always, always believe in yourself, because if you don't, then who will, sweetie? So keep your head high, keep your chin up, and most importantly, keep smiling, because life's a beautiful thing and there's so much to smile about.",sisters
J.K. Rowling,"It takes a great deal of bravery to stand up to our enemies, but just as much to stand up to our friends.",courage
J.K. Rowling,"It takes a great deal of bravery to stand up to our enemies, but just as much to stand up to our friends.",friends
Albert Einstein,"If you can't explain it to a six year old, you don't understand it yourself.",simplicity
Albert Einstein,"If you can't explain it to a six year old, you don't understand it yourself.",understand
Bob Marley,"You may not be her first, her last, or her only. She loved before she may love again. But if she loves you now, what else matters? She's not perfect—you aren't either, and the two of you may never be perfect together but if she can make you laugh, cause you to think twice, and admit to being human and making mistakes, hold onto her and give her the most you can. She may not be thinking about you every second of the day, but she will give you a part of her that she knows you can break—her heart. So don't hurt her, don't change her, don't analyze and don't expect more than she can give. Smile when she makes you happy, let her know when she makes you mad, and miss her when she's not there.",love
Dr. Seuss,"I like nonsense, it wakes up the brain cells. Fantasy is a necessary ingredient in living.",fantasy
Douglas Adams,"I may not have gone where I intended to go, but I think I have ended up where I needed to be.",life
Douglas Adams,"I may not have gone where I intended to go, but I think I have ended up where I needed to be.",navigation
Elie Wiesel,"The opposite of love is not hate, it's indifference. The opposite of art is not ugliness, it's indifference. The opposite of faith is not heresy, it's indifference. And the opposite of life is not death, it's indifference.",activism
Elie Wiesel,"The opposite of love is not hate, it's indifference. The opposite of art is not ugliness, it's indifference. The opposite of faith is not heresy, it's indifference. And the opposite of life is not death, it's indifference.",apathy
Elie Wiesel,"The opposite of love is not hate, it's indifference. The opposite of art is not ugliness, it's indifference. The opposite of faith is not heresy, it's indifference. And the opposite of life is not death, it's indifference.",hate
Elie Wiesel,"The opposite of love is not hate, it's indifference. The opposite of art is not ugliness, it's indifference. The opposite of faith is not heresy, it's indifference. And the opposite of life is not death, it's indifference.",indifference
Elie Wiesel,"The opposite of love is not hate, it's indifference. The opposite of art is not ugliness, it's indifference. The opposite of faith is not heresy, it's indifference. And the opposite of life is not death, it's indifference.",inspirational
Elie Wiesel,"The opposite of love is not hate, it's indifference. The opposite of art is not ugliness, it's indifference. The opposite of faith is not heresy, it's indifference. And the opposite of life is not death, it's indifference.",love
Elie Wiesel,"The opposite of love is not hate, it's indifference. The opposite of art is not ugliness, it's indifference. The opposite of faith is not heresy, it's indifference. And the opposite of life is not death, it's indifference.",opposite
Elie Wiesel,"The opposite of love is not hate, it's indifference. The opposite of art is not ugliness, it's indifference. The opposite of faith is not heresy, it's indifference. And the opposite of life is not death, it's indifference.",philosophy
Friedrich Nietzsche,"It is not a lack of love, but a lack of friendship that makes unhappy marriages.",friendship
Friedrich Nietzsche,"It is not a lack of love, but a lack of friendship that makes unhappy marriages.",lack-of-friendship
Friedrich Nietzsche,"It is not a lack of love, but a lack of friendship that makes unhappy marriages.",lack-of-love
Friedrich Nietzsche,"It is not a lack of love, but a lack of friendship that makes unhappy marriages.",love
Friedrich Nietzsche,"It is not a lack of love, but a lack of friendship that makes unhappy marriages.",marriage
Friedrich Nietzsche,"It is not a lack of love, but a lack of friendship that makes unhappy marriages.",unhappy-marriage
Mark Twain,"Good friends, good books, and a sleepy conscience: this is the ideal life.",books
Mark Twain,"Good friends, good books, and a sleepy conscience: this is the ideal life.",contentment
Mark Twain,"Good friends, good books, and a sleepy conscience: this is the ideal life.",friends
Mark Twain,"Good friends, good books, and a sleepy conscience: this is the ideal life.",friendship
Mark Twain,"Good friends, good books, and a sleepy conscience: this is the ideal life.",life
Allen Saunders,Life is what happens to us while we are making other plans.,fate
Allen Saunders,Life is what happens to us while we are making other plans.,life
Allen Saunders,Life is what happens to us while we are making other plans.,misattributed-john-lennon
Allen Saunders,Life is what happens to us while we are making other plans.,planning
Allen Saunders,Life is what happens to us while we are making other plans.,plans
Pablo Neruda,"I love you without knowing how, or when, or from where. I love you simply, without problems or pride: I love you in this way because I do not know any other way of loving but this, in which there is no I or you, so intimate that your hand upon my chest is my hand, so intimate that when I fall asleep your eyes close.",love
Pablo Neruda,"I love you without knowing how, or when, or from where. I love you simply, without problems or pride: I love you in this way because I do not know any other way of loving but this, in which there is no I or you, so intimate that your hand upon my chest is my hand, so intimate that when I fall asleep your eyes close.",poetry
Ralph Waldo Emerson,For every minute you are angry you lose sixty seconds of happiness.,happiness
Mother Teresa,"If you judge people, you have no time to love them.",attributed-no-source
Garrison Keillor,Anyone who thinks sitting in church can make you a Christian must also think that sitting in a garage can make you a car.,humor
Garrison Keillor,Anyone who thinks sitting in church can make you a Christian must also think that sitting in a garage can make you a car.,religion
Jim Henson,Beauty is in the eye of the beholder and it may be necessary from time to time to give a stupid or misinformed beholder a black eye.,humor
Dr. Seuss,"Today you are You, that is truer than true. There is no one alive who is Youer than You.",comedy
Dr. Seuss,"Today you are You, that is truer than true. There is no one alive who is Youer than You.",life
Dr. Seuss,"Today you are You, that is truer than true. There is no one alive who is Youer than You.",yourself
Albert Einstein,"If you want your children to be intelligent, read them fairy tales. If you want them to be more intelligent, read them more fairy tales.",children
Albert Einstein,"If you want your children to be intelligent, read them fairy tales. If you want them to be more intelligent, read them more fairy tales.",fairy-tales
J.K. Rowling,"It is impossible to live without failing at something, unless you live so cautiously that you might as well not have lived at all - in which case, you fail by default.",
Albert Einstein,Logic will get you from A to Z; imagination will get you everywhere.,imagination
Bob Marley,"One good thing about music, when it hits you, you feel no pain.",music
Dr. Seuss,"The more that you read, the more things you will know. The more that you learn, the more places you'll go.",learning
Dr. Seuss,"The more that you read, the more things you will know. The more that you learn, the more places you'll go.",reading
Dr. Seuss,"The more that you read, the more things you will know. The more that you learn, the more places you'll go.",seuss
J.K. Rowling,"Of course it is happening inside your head, Harry, but why on earth should that mean that it is not real?",dumbledore
Bob Marley,"The truth is, everyone is going to hurt you. You just got to find the ones worth suffering for.",friendship
Mother Teresa,Not all of us can do great things. But we can do small things with great love.,misattributed-to-mother-teresa
Mother Teresa,Not all of us can do great things. But we can do small things with great love.,paraphrased
J.K. Rowling,"To the well-organized mind, death is but the next great adventure.",death
J.K. Rowling,"To the well-organized mind, death is but the next great adventure.",inspirational
Charles M. Schulz,All you need is love. But a little chocolate now and then doesn't hurt.,chocolate
Charles M. Schulz,All you need is love. But a little chocolate now and then doesn't hurt.,food
Charles M. Schulz,All you need is love. But a little chocolate now and then doesn't hurt.,humor
William Nicholson,We read to know we're not alone.,misattributed-to-c-s-lewis
William Nicholson,We read to know we're not alone.,reading
Albert Einstein,Any fool can know. The point is to understand.,knowledge
Albert Einstein,Any fool can know. The point is to understand.,learning
Albert Einstein,Any fool can know. The point is to understand.,understanding
Albert Einstein,Any fool can know. The point is to understand.,wisdom
Jorge Luis Borges,I have always imagined that Paradise will be a kind of library.,books
Jorge Luis Borges,I have always imagined that Paradise will be a kind of library.,library
George Eliot,It is never too late to be what you might have been.,inspirational
George R.R. Martin,"A reader lives a thousand lives before he dies, said Jojen. The man who never reads lives only one.",read
George R.R. Martin,"A reader lives a thousand lives before he dies, said Jojen. The man who never reads lives only one.",readers
